route_id,direction_id,hour,trip_count,avg_headway_min,min_headway_min
7X,1,6,9,6.666666666666667,4.5
7X,1,7,13,4.615384615384615,4.0
7X,1,8,13,4.615384615384615,2.5
7X,1,9,7,8.571428571428571,7.0
A,0,0,7,8.571428571428571,2.0
A,0,1,6,10.0,2.5
A,0,2,6,10.0,2.5
A,0,3,6,10.0,2.5
A,0,4,6,10.0,2.5
A,0,5,6,10.0,7.5
A,0,6,11,5.454545454545454,0.5
A,0,7,15,4.0,1.5
A,0,8,12,5.0,0.5
A,0,9,7,8.571428571428571,0.5
A,0,10,9,6.666666666666667,0.5
A,0,11,6,10.0,0.5
A,0,12,8,7.5,1.0
A,0,13,8,7.5,0.5
A,0,14,8,7.5,0.5
A,0,15,10,6.0,0.5
A,0,16,9,6.666666666666667,1.5
A,0,17,8,7.5,1.0
A,0,18,8,7.5,0.5
A,0,19,8,7.5,1.0
A,0,20,7,8.571428571428571,2.0
A,0,21,8,7.5,4.5
A,0,22,5,12.0,3.0
A,0,23,4,15.0,6.0
A,1,0,3,20.0,18.0
A,1,1,6,10.0,3.5
A,1,2,6,10.0,3.5
A,1,3,6,10.0,3.5
A,1,4,6,10.0,3.5
A,1,5,7,8.571428571428571,1.0
A,1,6,11,5.454545454545454,2.0
A,1,7,9,6.666666666666667,1.0
A,1,8,10,6.0,4.5
A,1,9,10,6.0,3.5
A,1,10,7,8.571428571428571,8.0
A,1,11,8,7.5,7.0
A,1,12,7,8.571428571428571,8.0
A,1,13,8,7.5,8.0
A,1,14,8,7.5,5.0
A,1,15,8,7.5,4.5
A,1,16,14,4.285714285714286,0.5
A,1,17,13,4.615384615384615,1.0
A,1,18,11,5.454545454545454,4.0
A,1,19,9,6.666666666666667,5.0
A,1,20,7,8.571428571428571,7.0
A,1,21,5,12.0,10.5
A,1,22,7,8.571428571428571,2.0
A,1,23,5,12.0,12.5
B,0,5,1,60.0,60.0
B,0,6,7,8.571428571428571,8.0
B,0,7,9,6.666666666666667,4.5
B,0,8,8,7.5,5.5
B,0,9,7,8.571428571428571,6.5
B,0,10,8,7.5,5.5
B,0,11,7,8.571428571428571,7.5
B,0,12,8,7.5,7.0
B,0,13,7,8.571428571428571,7.5
B,0,14,8,7.5,6.5
B,0,15,7,8.571428571428571,7.0
B,0,16,7,8.571428571428571,7.0
B,0,17,6,10.0,8.0
B,0,18,6,10.0,7.0
B,0,19,6,10.0,8.0
B,0,20,6,10.0,10.0
B,0,21,2,30.0,12.0
B,1,5,4,15.0,9.0
B,1,6,6,10.0,9.0
B,1,7,6,10.0,9.0
B,1,8,8,7.5,6.0
B,1,9,6,10.0,6.5
B,1,10,8,7.5,6.5
B,1,11,7,8.571428571428571,6.5
B,1,12,7,8.571428571428571,6.0
B,1,13,8,7.5,6.0
B,1,14,8,7.5,6.0
B,1,15,8,7.5,3.0
B,1,16,8,7.5,4.0
B,1,17,8,7.5,4.5
B,1,18,4,15.0,6.5
B,1,19,6,10.0,9.0
B,1,20,6,10.0,8.5
B,1,21,2,30.0,10.0
C,0,5,2,30.0,10.5
C,0,6,7,8.571428571428571,7.0
C,0,7,6,10.0,8.5
C,0,8,7,8.571428571428571,7.0
C,0,9,5,12.0,9.0
C,0,10,8,7.5,6.0
C,0,11,8,7.5,7.0
C,0,12,7,8.571428571428571,7.0
C,0,13,7,8.571428571428571,8.0
