date,route,direction,hour,baseline_trips,opt_trips,predicted_demand,lambda_opt,target
2026-01-15,4,1,22,5.0,10,3072.940982571095,260.0,balanced
2026-01-15,4,1,23,4.0,9,1896.8017043778393,260.0,balanced
2026-01-15,5,0,0,3.0,8,953.0654640809804,260.0,balanced
2026-01-15,5,0,1,3.0,6,337.89561497769273,260.0,balanced
2026-01-15,5,0,2,3.0,5,228.29854867335018,260.0,balanced
2026-01-15,5,0,3,3.0,6,334.95454299386427,260.0,balanced
2026-01-15,5,0,4,3.0,8,951.7605322910157,260.0,balanced
2026-01-15,5,0,5,4.0,9,3572.54031973959,260.0,balanced
2026-01-15,5,0,6,10.0,15,7942.674423722786,260.0,balanced
2026-01-15,5,0,7,10.0,15,14481.668537553554,260.0,balanced
2026-01-15,5,0,8,12.0,18,16409.702089328242,260.0,balanced
2026-01-15,5,0,9,9.0,14,9849.24165677015,260.0,balanced
2026-01-15,5,0,10,9.0,14,4829.57405132626,260.0,balanced
2026-01-15,5,0,11,8.0,13,4553.592970501668,260.0,balanced
2026-01-15,5,0,12,7.0,12,5043.44833024186,260.0,balanced
2026-01-15,5,0,13,8.0,13,5744.030675808044,260.0,balanced
2026-01-15,5,0,14,7.0,12,6980.00817548877,260.0,balanced
2026-01-15,5,0,15,8.0,13,9186.054365553187,260.0,balanced
2026-01-15,5,0,16,11.0,16,10488.257012847365,260.0,balanced
2026-01-15,5,0,17,12.0,18,12038.16060134511,260.0,balanced
2026-01-15,5,0,18,10.0,15,8207.845056196453,260.0,balanced
2026-01-15,5,0,19,7.0,12,6732.106726422253,260.0,balanced
2026-01-15,5,0,20,4.0,9,4970.920343193291,260.0,balanced
2026-01-15,5,0,21,6.0,11,3636.6451283919837,260.0,balanced
2026-01-15,5,0,22,2.0,7,2791.1601292308646,260.0,balanced
2026-01-15,5,0,23,4.0,9,1785.9889355329353,260.0,balanced
2026-01-15,5,1,0,3.0,8,953.0654640809804,260.0,balanced
2026-01-15,5,1,1,3.0,6,337.89561497769273,260.0,balanced
2026-01-15,5,1,2,3.0,5,228.29854867335018,260.0,balanced
2026-01-15,5,1,3,3.0,6,334.95454299386427,260.0,balanced
2026-01-15,5,1,4,4.0,9,951.7605322910157,260.0,balanced
2026-01-15,5,1,5,8.0,13,3572.54031973959,260.0,balanced
2026-01-15,5,1,6,13.0,19,7942.674423722786,260.0,balanced
2026-01-15,5,1,7,13.0,19,14481.668537553554,260.0,balanced
2026-01-15,5,1,8,8.0,13,16409.702089328242,260.0,balanced
2026-01-15,5,1,9,8.0,13,9849.24165677015,260.0,balanced
2026-01-15,5,1,10,8.0,13,4829.57405132626,260.0,balanced
2026-01-15,5,1,11,7.0,12,4553.592970501668,260.0,balanced
2026-01-15,5,1,12,7.0,12,5043.44833024186,260.0,balanced
2026-01-15,5,1,13,8.0,13,5744.030675808044,260.0,balanced
2026-01-15,5,1,14,8.0,13,6980.00817548877,260.0,balanced
2026-01-15,5,1,15,11.0,16,9186.054365553187,260.0,balanced
2026-01-15,5,1,16,13.0,19,10488.257012847365,260.0,balanced
2026-01-15,5,1,17,7.0,12,12038.16060134511,260.0,balanced
2026-01-15,5,1,18,7.0,12,8207.845056196453,260.0,balanced
2026-01-15,5,1,19,5.0,10,6732.106726422253,260.0,balanced
2026-01-15,5,1,20,6.0,11,4970.920343193291,260.0,balanced
2026-01-15,5,1,21,5.0,10,3636.6451283919837,260.0,balanced
2026-01-15,5,1,22,4.0,9,2791.1601292308646,260.0,balanced
2026-01-15,5,1,23,3.0,8,1785.9889355329353,260.0,balanced
2026-01-15,6,0,0,6.0,11,1770.2346286943134,260.0,balanced
2026-01-15,6,0,1,4.0,9,640.371750928608,260.0,balanced
2026-01-15,6,0,2,3.0,7,408.92472309487573,260.0,balanced
2026-01-15,6,0,3,3.0,8,525.7389985803821,260.0,balanced
2026-01-15,6,0,4,3.0,8,1386.5926891106217,260.0,balanced
2026-01-15,6,0,5,4.0,9,4300.486123943661,260.0,balanced
2026-01-15,6,0,6,8.0,13,9318.76805412722,260.0,balanced
2026-01-15,6,0,7,14.0,21,20282.40923220352,260.0,balanced
2026-01-15,6,0,8,19.0,28,26593.270806847955,260.0,balanced
2026-01-15,6,0,9,18.0,27,16530.72182525234,260.0,balanced
2026-01-15,6,0,10,15.0,22,8346.524322015131,260.0,balanced
2026-01-15,6,0,11,15.0,22,8289.69686386359,260.0,balanced
2026-01-15,6,0,12,11.0,16,9392.832004993796,260.0,balanced
2026-01-15,6,0,13,7.0,12,10651.400662728698,260.0,balanced
2026-01-15,6,0,14,8.0,13,14092.063870715285,260.0,balanced
2026-01-15,6,0,15,7.0,12,18888.23592681275,260.0,balanced
2026-01-15,6,0,16,9.0,14,21268.51181949729,260.0,balanced
2026-01-15,6,0,17,7.0,12,23145.357170380437,260.0,balanced
2026-01-15,6,0,18,8.0,13,16459.937405726803,260.0,balanced
2026-01-15,6,0,19,8.0,13,15206.405209976898,260.0,balanced
2026-01-15,6,0,20,10.0,15,11649.358748764078,260.0,balanced
2026-01-15,6,0,21,12.0,18,8381.20546264989,260.0,balanced
2026-01-15,6,0,22,8.0,13,6212.229827554361,260.0,balanced
2026-01-15,6,0,23,6.0,11,3971.7121605782563,260.0,balanced
2026-01-15,6,1,0,4.0,9,1770.2346286943134,260.0,balanced
2026-01-15,6,1,1,3.0,8,640.371750928608,260.0,balanced
2026-01-15,6,1,2,3.0,7,408.92472309487573,260.0,balanced
2026-01-15,6,1,3,3.0,8,525.7389985803821,260.0,balanced
2026-01-15,6,1,4,4.0,9,1386.5926891106217,260.0,balanced
2026-01-15,6,1,5,8.0,13,4300.486123943661,260.0,balanced
2026-01-15,6,1,6,7.0,12,9318.76805412722,260.0,balanced
2026-01-15,6,1,7,8.0,13,20282.40923220352,260.0,balanced
2026-01-15,6,1,8,9.0,14,26593.270806847955,260.0,balanced
2026-01-15,6,1,9,9.0,14,16530.72182525234,260.0,balanced
2026-01-15,6,1,10,7.0,12,8346.524322015131,260.0,balanced
2026-01-15,6,1,11,8.0,13,8289.69686386359,260.0,balanced
2026-01-15,6,1,12,13.0,19,9392.832004993796,260.0,balanced
2026-01-15,6,1,13,16.0,24,10651.400662728698,260.0,balanced
2026-01-15,6,1,14,14.0,21,14092.063870715285,260.0,balanced
2026-01-15,6,1,15,18.0,27,18888.23592681275,260.0,balanced
2026-01-15,6,1,16,18.0,27,21268.51181949729,260.0,balanced
2026-01-15,6,1,17,16.0,24,23145.357170380437,260.0,balanced
2026-01-15,6,1,18,14.0,21,16459.937405726803,260.0,balanced
2026-01-15,6,1,19,13.0,19,15206.405209976898,260.0,balanced
2026-01-15,6,1,20,11.0,16,11649.358748764078,260.0,balanced
2026-01-15,6,1,21,8.0,13,8381.20546264989,260.0,balanced
2026-01-15,6,1,22,6.0,11,6212.229827554361,260.0,balanced
2026-01-15,6,1,23,6.0,11,3971.7121605782563,260.0,balanced
2026-01-15,6X,0,0,8.0,11,1016.102858101813,260.0,balanced
2026-01-15,6X,0,1,8.0,7,382.2032730806595,260.0,balanced
2026-01-15,6X,0,2,8.0,5,241.7543987513804,260.0,balanced
2026-01-15,6X,0,3,8.0,6,288.09183539746755,260.0,balanced
2026-01-15,6X,0,4,8.0,9,706.9774492771675,260.0,balanced
2026-01-15,6X,0,5,8.0,13,2478.788718832362,260.0,balanced
2026-01-15,6X,0,6,8.0,13,6075.699328807008,260.0,balanced
2026-01-15,6X,0,7,8.0,13,12154.325099471509,260.0,balanced
2026-01-15,6X,0,8,8.0,13,14958.19263499336,260.0,balanced
2026-01-15,6X,0,9,8.0,13,9695.739251825416,260.0,balanced
2026-01-15,6X,0,10,8.0,13,4794.467887070169,260.0,balanced
2026-01-15,6X,0,11,8.0,13,4491.49135097939,260.0,balanced
2026-01-15,6X,0,12,4.0,9,4855.29173689193,260.0,balanced
2026-01-15,6X,0,13,8.0,13,5509.189017910025,260.0,balanced
2026-01-15,6X,0,14,7.0,12,6631.64044021007,260.0,balanced
2026-01-15,6X,0,15,8.0,13,8282.05201057692,260.0,balanced
2026-01-15,6X,0,16,8.0,13,9484.41677827505,260.0,balanced
2026-01-15,6X,0,17,11.0,16,11068.02030902375,260.0,balanced
2026-01-15,6X,0,18,8.0,13,8318.990453581748,260.0,balanced
2026-01-15,6X,0,19,7.0,12,7324.393689697067,260.0,balanced
2026-01-15,6X,0,20,2.0,7,5660.963301294821,260.0,balanced
2026-01-15,6X,0,21,8.0,13,4644.617874258829,260.0,balanced
2026-01-15,6X,0,22,8.0,13,3651.365135900635,260.0,balanced
2026-01-15,6X,0,23,8.0,13,2174.6126670863187,260.0,balanced
2026-01-15,6X,1,0,7.0,11,1016.102858101813,260.0,balanced
2026-01-15,6X,1,1,7.0,7,382.2032730806595,260.0,balanced
2026-01-15,6X,1,2,7.0,5,241.7543987513804,260.0,balanced
2026-01-15,6X,1,3,7.0,6,288.09183539746755,260.0,balanced
2026-01-15,6X,1,4,7.0,9,706.9774492771675,260.0,balanced
2026-01-15,6X,1,5,7.0,12,2478.788718832362,260.0,balanced
2026-01-15,6X,1,6,7.0,12,6075.699328807008,260.0,balanced
2026-01-15,6X,1,7,11.0,16,12154.325099471509,260.0,balanced
2026-01-15,6X,1,8,8.0,13,14958.19263499336,260.0,balanced
2026-01-15,6X,1,9,7.0,12,9695.739251825416,260.0,balanced
2026-01-15,6X,1,10,8.0,13,4794.467887070169,260.0,balanced
2026-01-15,6X,1,11,7.0,12,4491.49135097939,260.0,balanced
2026-01-15,6X,1,12,2.0,7,4855.29173689193,260.0,balanced
2026-01-15,6X,1,13,7.0,12,5509.189017910025,260.0,balanced
2026-01-15,6X,1,14,7.0,12,6631.64044021007,260.0,balanced
2026-01-15,6X,1,15,7.0,12,8282.05201057692,260.0,balanced
2026-01-15,6X,1,16,7.0,12,9484.41677827505,260.0,balanced
2026-01-15,6X,1,17,7.0,12,11068.02030902375,260.0,balanced
2026-01-15,6X,1,18,7.0,12,8318.990453581748,260.0,balanced
2026-01-15,6X,1,19,7.0,12,7324.393689697067,260.0,balanced
2026-01-15,6X,1,20,7.0,12,5660.963301294821,260.0,balanced
2026-01-15,6X,1,21,7.0,12,4644.617874258829,260.0,balanced
2026-01-15,6X,1,22,7.0,12,3651.365135900635,260.0,balanced
2026-01-15,6X,1,23,7.0,12,2174.6126670863187,260.0,balanced
2026-01-15,7,0,0,6.0,11,1379.2194090301625,260.0,balanced
2026-01-15,7,0,1,4.0,8,587.0497233738803,260.0,balanced
2026-01-15,7,0,2,3.0,7,407.9866317077159,260.0,balanced
2026-01-15,7,0,3,3.0,8,597.7164761469053,260.0,balanced
2026-01-15,7,0,4,3.0,8,2185.6188481024174,260.0,balanced
2026-01-15,7,0,5,5.0,10,8175.482380097106,260.0,balanced
2026-01-15,7,0,6,18.0,27,15914.690859937553,260.0,balanced
2026-01-15,7,0,7,25.0,37,27067.037899394712,260.0,balanced
2026-01-15,7,0,8,28.0,42,28402.77523669683,260.0,balanced
2026-01-15,7,0,9,16.0,24,18302.691323098108,260.0,balanced
2026-01-15,7,0,10,12.0,18,8882.446154084553,260.0,balanced
2026-01-15,7,0,11,12.0,18,7368.539145496666,260.0,balanced
2026-01-15,7,0,12,12.0,18,7601.597422706554,260.0,balanced
2026-01-15,7,0,13,12.0,18,8631.164199337278,260.0,balanced
2026-01-15,7,0,14,10.0,15,10540.54175680362,260.0,balanced
2026-01-15,7,0,15,8.0,13,12602.334153749505,260.0,balanced
